==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
1180/5000  0.0061     99.81        72.77        15868.90s
1181/5000  0.0052     99.81        72.70        15881.86s
1182/5000  0.0062     99.80        72.87        15894.79s
1183/5000  0.0074     99.77        73.17        15907.70s
1184/5000  0.0051     99.83        73.12        15920.56s
1185/5000  0.0054     99.84        73.00        15933.53s
1186/5000  0.0081     99.78        72.84        15946.53s
1187/5000  0.0038     99.84        72.65        15959.40s
1188/5000  0.0044     99.85        72.92        15972.38s
1189/5000  0.0076     99.78        72.50        15985.34s
1190/5000  0.0047     99.82        72.59        15998.18s
1191/5000  0.0064     99.81        72.66        16011.15s
1192/5000  0.0077     99.78        72.26        16024.08s
1193/5000  0.0057     99.81        72.17        16036.94s
1194/5000  0.0059     99.83        72.01        16049.93s
1195/5000  0.0054     99.83        72.45        16062.79s
1196/5000  0.0051     99.82        72.38        16075.67s
1197/5000  0.0063     99.80        72.34        16088.54s
1198/5000  0.0064     99.79        72.31        16101.47s
1199/5000  0.0071     99.79        72.05        16114.40s
1200/5000  0.0054     99.84        72.81        16127.32s
1201/5000  0.0046     99.85        73.15        16140.40s
1202/5000  0.0042     99.85        72.48        16153.23s
1203/5000  0.0053     99.83        72.73        16166.05s
1204/5000  0.0061     99.82        71.77        16178.97s
1205/5000  0.0097     99.71        72.41        16191.82s
1206/5000  0.0066     99.80        72.75        16204.75s
1207/5000  0.0063     99.78        72.15        16217.68s
1208/5000  0.0076     99.77        72.65        16230.64s
1209/5000  0.0052     99.82        72.94        16243.68s
1210/5000  0.0034     99.88        72.88        16256.79s
1211/5000  0.0042     99.87        72.21        16269.69s
1212/5000  0.0048     99.83        72.42        16282.50s
1213/5000  0.0045     99.84        72.43        16295.34s
1214/5000  0.0061     99.82        72.57        16308.13s
1215/5000  0.0055     99.83        72.44        16320.94s
1216/5000  0.0059     99.81        72.59        16333.74s
1217/5000  0.0059     99.81        72.29        16346.52s
1218/5000  0.0056     99.81        71.73        16359.39s
1219/5000  0.0068     99.78        72.63        16372.38s
1220/5000  0.0056     99.81        71.74        16385.22s
1221/5000  0.0078     99.75        72.15        16398.11s
1222/5000  0.0062     99.80        72.42        16410.93s
1223/5000  0.0054     99.82        72.56        16423.75s
1224/5000  0.0040     99.86        72.61        16436.54s
1225/5000  0.0050     99.82        72.40        16449.45s
1226/5000  0.0053     99.85        72.20        16462.20s
1227/5000  0.0063     99.84        72.35        16475.02s
1228/5000  0.0053     99.80        72.48        16487.81s
1229/5000  0.0063     99.79        71.99        16500.70s
1230/5000  0.0059     99.82        72.15        16513.58s
1231/5000  0.0058     99.83        72.14        16526.44s
1232/5000  0.0055     99.81        72.07        16539.41s
1233/5000  0.0039     99.85        72.19        16552.22s
1234/5000  0.0064     99.81        72.20        16565.06s
1235/5000  0.0066     99.81        72.01        16577.91s
1236/5000  0.0063     99.79        71.92        16590.77s
1237/5000  0.0056     99.84        72.42        16603.54s
1238/5000  0.0058     99.82        72.05        16616.24s
1239/5000  0.0057     99.82        72.35        16629.12s
1240/5000  0.0042     99.87        72.20        16641.95s
1241/5000  0.0057     99.83        71.70        16654.81s
1242/5000  0.0059     99.81        72.31        16667.67s
1243/5000  0.0057     99.83        72.23        16680.54s
1244/5000  0.0071     99.81        72.33        16693.38s
1245/5000  0.0071     99.82        71.89        16706.16s
1246/5000  0.0059     99.82        72.05        16719.06s
1247/5000  0.0055     99.83        72.33        16731.90s
1248/5000  0.0054     99.80        71.98        16744.70s
1249/5000  0.0077     99.78        71.96        16757.58s
1250/5000  0.0068     99.80        71.72        16770.43s
1251/5000  0.0054     99.83        72.17        16783.27s
1252/5000  0.0051     99.83        72.30        16796.18s
1253/5000  0.0044     99.85        71.19        16809.16s
1254/5000  0.0049     99.82        71.11        16822.01s
1255/5000  0.0051     99.84        72.38        16834.81s
1256/5000  0.0059     99.83        71.77        16847.73s
1257/5000  0.0064     99.80        72.03        16860.52s
1258/5000  0.0051     99.85        71.97        16873.27s
1259/5000  0.0058     99.83        71.96        16886.06s
1260/5000  0.0063     99.78        72.06        16898.88s
1261/5000  0.0054     99.83        72.63        16911.87s
1262/5000  0.0041     99.84        72.55        16924.76s
1263/5000  0.0046     99.88        72.13        16937.61s
1264/5000  0.0053     99.82        71.94        16950.48s
1265/5000  0.0063     99.81        72.12        16963.33s
1266/5000  0.0050     99.85        72.18        16976.15s
1267/5000  0.0049     99.86        72.08        16989.06s
1268/5000  0.0062     99.80        72.01        17002.01s
1269/5000  0.0067     99.79        71.72        17014.85s
1270/5000  0.0049     99.84        72.07        17027.76s
1271/5000  0.0042     99.87        72.17        17040.63s
1272/5000  0.0055     99.82        72.59        17053.52s
1273/5000  0.0056     99.84        72.30        17066.35s
1274/5000  0.0073     99.78        72.27        17079.25s
1275/5000  0.0063     99.80        72.16        17092.13s
1276/5000  0.0067     99.80        72.37        17105.02s
1277/5000  0.0040     99.85        72.18        17117.86s
1278/5000  0.0050     99.84        72.41        17130.71s
1279/5000  0.0042     99.86        72.52        17143.58s
1280/5000  0.0038     99.85        72.24        17156.40s
1281/5000  0.0041     99.85        72.42        17169.31s
1282/5000  0.0055     99.82        72.15        17182.17s
1283/5000  0.0049     99.82        72.18        17195.05s
1284/5000  0.0062     99.82        72.03        17207.91s
1285/5000  0.0069     99.77        72.08        17220.81s
1286/5000  0.0066     99.80        72.12        17233.68s
1287/5000  0.0057     99.80        72.42        17246.57s
1288/5000  0.0060     99.81        72.35        17259.43s
1289/5000  0.0049     99.85        72.33        17272.30s
1290/5000  0.0048     99.85        72.21        17285.14s
1291/5000  0.0053     99.84        72.44        17298.01s
1292/5000  0.0051     99.84        72.08        17310.84s
1293/5000  0.0045     99.84        72.24        17323.85s
1294/5000  0.0060     99.80        71.68        17336.81s
1295/5000  0.0050     99.83        72.18        17349.89s
1296/5000  0.0047     99.86        72.53        17362.94s
1297/5000  0.0056     99.83        71.99        17376.09s
1298/5000  0.0059     99.79        71.62        17389.04s
1299/5000  0.0067     99.81        72.66        17401.93s
1300/5000  0.0045     99.85        72.84        17415.01s
1301/5000  0.0049     99.85        72.61        17428.01s
1302/5000  0.0047     99.84        72.18        17440.95s
1303/5000  0.0068     99.77        72.00        17453.76s
1304/5000  0.0073     99.80        72.20        17466.47s
1305/5000  0.0060     99.82        72.13        17479.34s
1306/5000  0.0068     99.78        72.56        17492.13s
1307/5000  0.0058     99.82        72.75        17505.01s
1308/5000  0.0050     99.85        72.62        17517.96s
1309/5000  0.0046     99.86        72.68        17530.98s
1310/5000  0.0046     99.86        72.64        17543.80s
1311/5000  0.0041     99.86        72.96        17556.54s
1312/5000  0.0039     99.86        72.31        17569.39s
1313/5000  0.0052     99.85        72.07        17582.32s
1314/5000  0.0069     99.81        72.18        17595.21s
1315/5000  0.0062     99.80        72.17        17608.11s
1316/5000  0.0044     99.84        72.25        17620.92s
1317/5000  0.0057     99.82        73.22        17633.86s
1318/5000  0.0060     99.84        72.40        17646.64s
1319/5000  0.0057     99.82        72.57        17659.52s
1320/5000  0.0047     99.84        72.62        17672.27s
1321/5000  0.0056     99.84        72.38        17685.15s
1322/5000  0.0052     99.83        72.63        17697.92s
1323/5000  0.0053     99.82        72.14        17710.72s
1324/5000  0.0038     99.87        72.64        17723.64s
1325/5000  0.0046     99.85        72.27        17736.59s
1326/5000  0.0058     99.80        72.70        17749.67s
1327/5000  0.0048     99.84        72.16        17762.65s
1328/5000  0.0047     99.85        72.68        17775.64s
1329/5000  0.0048     99.84        72.49        17788.45s
1330/5000  0.0053     99.82        72.46        17801.56s
1331/5000  0.0054     99.82        72.35        17814.48s
1332/5000  0.0042     99.84        71.80        17827.34s
1333/5000  0.0055     99.81        72.46        17840.12s
1334/5000  0.0058     99.79        72.06        17852.95s
1335/5000  0.0049     99.83        72.47        17865.74s
1336/5000  0.0048     99.83        72.65        17878.63s
1337/5000  0.0053     99.83        72.27        17891.55s
1338/5000  0.0065     99.82        72.58        17904.48s
1339/5000  0.0049     99.85        72.55        17917.44s
1340/5000  0.0057     99.81        72.52        17930.45s
1341/5000  0.0057     99.83        72.54        17943.39s
1342/5000  0.0053     99.84        72.53        17956.25s
1343/5000  0.0067     99.82        72.35        17969.21s
1344/5000  0.0046     99.84        72.52        17982.04s
1345/5000  0.0062     99.82        71.95        17994.89s
1346/5000  0.0061     99.79        72.47        18007.79s
1347/5000  0.0036     99.88        72.94        18020.73s
1348/5000  0.0052     99.84        72.46        18033.64s
1349/5000  0.0057     99.82        72.35        18046.47s
1350/5000  0.0053     99.83        72.57        18059.33s
1351/5000  0.0055     99.83        72.16        18072.32s
1352/5000  0.0048     99.86        72.37        18085.25s
1353/5000  0.0043     99.86        72.16        18098.14s
1354/5000  0.0046     99.84        72.59        18110.98s
1355/5000  0.0053     99.83        72.35        18123.88s
1356/5000  0.0049     99.84        72.39        18136.78s
1357/5000  0.0061     99.79        72.01        18149.65s
1358/5000  0.0048     99.83        72.54        18162.49s
1359/5000  0.0045     99.88        72.48        18175.33s
1360/5000  0.0060     99.81        72.30        18188.13s
1361/5000  0.0066     99.80        72.60        18201.00s
1362/5000  0.0051     99.86        72.71        18213.84s
1363/5000  0.0054     99.84        72.59        18226.63s
1364/5000  0.0048     99.86        72.76        18239.44s
1365/5000  0.0045     99.86        72.39        18252.24s
1366/5000  0.0051     99.84        73.08        18265.14s
1367/5000  0.0058     99.82        72.87        18278.14s
1368/5000  0.0052     99.84        72.60        18291.08s
1369/5000  0.0038     99.85        72.29        18303.95s
1370/5000  0.0044     99.87        72.28        18316.89s
1371/5000  0.0047     99.86        72.65        18329.77s
1372/5000  0.0051     99.84        72.51        18342.62s
1373/5000  0.0062     99.83        72.21        18355.47s
1374/5000  0.0060     99.82        72.58        18368.41s
1375/5000  0.0046     99.84        72.84        18381.26s
1376/5000  0.0046     99.86        72.51        18394.07s
1377/5000  0.0062     99.81        72.35        18406.89s
1378/5000  0.0062     99.82        72.31        18419.88s
1379/5000  0.0048     99.86        72.69        18432.83s
1380/5000  0.0047     99.85        72.88        18445.64s
1381/5000  0.0061     99.81        73.10        18458.58s
1382/5000  0.0039     99.84        72.35        18471.43s
1383/5000  0.0057     99.84        72.51        18484.29s
1384/5000  0.0039     99.87        72.82        18497.17s
1385/5000  0.0041     99.85        72.78        18510.07s
1386/5000  0.0034     99.89        72.56        18522.96s
1387/5000  0.0059     99.81        72.37        18535.79s
1388/5000  0.0054     99.84        72.26        18548.58s
1389/5000  0.0056     99.82        71.80        18561.35s
1390/5000  0.0059     99.84        72.48        18574.27s
1391/5000  0.0047     99.84        72.60        18587.10s
1392/5000  0.0057     99.84        72.36        18600.03s
1393/5000  0.0049     99.83        72.28        18612.88s
1394/5000  0.0060     99.82        72.85        18625.73s
1395/5000  0.0061     99.84        72.30        18638.66s
1396/5000  0.0046     99.85        72.15        18651.50s
1397/5000  0.0042     99.86        72.97        18664.44s
1398/5000  0.0039     99.87        72.95        18677.29s
1399/5000  0.0042     99.86        71.93        18690.17s
1400/5000  0.0059     99.81        72.58        18703.12s
1401/5000  0.0058     99.83        72.06        18715.98s
1402/5000  0.0051     99.84        72.89        18728.83s
1403/5000  0.0041     99.89        72.67        18741.89s
1404/5000  0.0042     99.87        72.58        18754.77s
1405/5000  0.0066     99.83        73.02        18767.65s
1406/5000  0.0055     99.82        72.48        18780.59s
1407/5000  0.0061     99.83        72.94        18793.43s
1408/5000  0.0039     99.87        73.09        18806.36s
1409/5000  0.0038     99.87        72.51        18819.36s
1410/5000  0.0043     99.86        72.69        18832.38s
1411/5000  0.0043     99.85        72.50        18845.26s
1412/5000  0.0056     99.86        71.94        18858.08s
1413/5000  0.0054     99.83        72.37        18870.98s
1414/5000  0.0059     99.79        72.22        18883.80s
1415/5000  0.0049     99.84        72.80        18896.69s
1416/5000  0.0042     99.84        72.67        18909.50s
1417/5000  0.0061     99.82        72.45        18922.36s
1418/5000  0.0066     99.83        72.34        18935.14s
1419/5000  0.0046     99.84        72.48        18947.97s
1420/5000  0.0043     99.85        72.55        18960.86s
1421/5000  0.0047     99.84        72.82        18973.82s
1422/5000  0.0052     99.84        72.49        18986.66s
1423/5000  0.0043     99.85        72.94        18999.50s
1424/5000  0.0049     99.84        72.67        19012.38s
1425/5000  0.0051     99.83        72.52        19025.19s
1426/5000  0.0050     99.86        72.65        19037.99s
1427/5000  0.0041     99.87        72.74        19050.83s
1428/5000  0.0039     99.86        72.14        19063.65s
1429/5000  0.0044     99.86        71.99        19076.51s
1430/5000  0.0035     99.88        72.40        19089.35s
1431/5000  0.0043     99.86        72.74        19102.22s
1432/5000  0.0047     99.83        72.53        19115.02s
1433/5000  0.0039     99.87        72.67        19127.85s
1434/5000  0.0048     99.86        73.17        19140.62s
1435/5000  0.0045     99.86        72.55        19153.41s
1436/5000  0.0033     99.88        72.48        19166.18s
1437/5000  0.0043     99.86        72.51        19179.00s
1438/5000  0.0046     99.85        72.68        19191.78s
1439/5000  0.0053     99.83        72.66        19204.75s
1440/5000  0.0051     99.84        72.75        19217.65s
1441/5000  0.0065     99.80        72.19        19230.53s
1442/5000  0.0043     99.86        72.39        19243.31s
1443/5000  0.0035     99.89        72.46        19256.06s
1444/5000  0.0067     99.84        72.31        19268.83s
1445/5000  0.0058     99.83        72.47        19281.68s
1446/5000  0.0051     99.84        72.35        19294.53s
1447/5000  0.0049     99.83        72.66        19307.36s
1448/5000  0.0036     99.89        72.95        19320.15s
1449/5000  0.0042     99.86        72.71        19333.02s
1450/5000  0.0042     99.86        72.30        19345.97s
1451/5000  0.0056     99.84        72.31        19358.91s
1452/5000  0.0043     99.87        72.67        19371.72s
1453/5000  0.0047     99.85        72.40        19384.66s
1454/5000  0.0040     99.86        72.39        19397.57s
1455/5000  0.0053     99.83        71.82        19410.47s
1456/5000  0.0063     99.84        72.47        19423.42s
1457/5000  0.0037     99.87        72.24        19436.35s
1458/5000  0.0039     99.86        72.68        19449.33s
1459/5000  0.0040     99.87        72.88        19462.20s
1460/5000  0.0039     99.87        72.64        19475.11s
1461/5000  0.0042     99.86        72.51        19488.04s
1462/5000  0.0056     99.85        72.36        19500.95s
1463/5000  0.0047     99.83        72.46        19513.79s
1464/5000  0.0042     99.84        72.85        19526.75s
1465/5000  0.0048     99.86        72.57        19539.69s
1466/5000  0.0045     99.84        72.21        19552.66s
1467/5000  0.0045     99.85        72.39        19565.49s
1468/5000  0.0043     99.85        72.18        19578.35s
1469/5000  0.0053     99.85        71.82        19591.30s
1470/5000  0.0050     99.86        72.76        19604.13s
1471/5000  0.0051     99.85        72.32        19617.06s
1472/5000  0.0036     99.88        72.79        19629.93s
1473/5000  0.0041     99.87        72.83        19642.81s
1474/5000  0.0048     99.85        72.91        19655.68s
1475/5000  0.0043     99.87        72.47        19668.52s
1476/5000  0.0044     99.85        72.26        19681.36s
1477/5000  0.0056     99.84        72.66        19694.22s
1478/5000  0.0040     99.86        72.52        19707.11s
1479/5000  0.0033     99.89        72.21        19719.98s
1480/5000  0.0055     99.86        72.61        19732.91s
1481/5000  0.0062     99.81        71.71        19745.81s
1482/5000  0.0066     99.82        72.35        19758.63s
1483/5000  0.0038     99.86        72.65        19771.63s
1484/5000  0.0044     99.88        72.71        19784.55s
1485/5000  0.0043     99.87        72.43        19797.46s
1486/5000  0.0039     99.89        72.69        19810.32s
1487/5000  0.0035     99.86        72.78        19823.20s
1488/5000  0.0040     99.88        72.43        19836.07s
1489/5000  0.0027     99.90        72.69        19848.98s
1490/5000  0.0045     99.88        72.52        19861.82s
1491/5000  0.0047     99.87        72.10        19874.81s
1492/5000  0.0056     99.81        72.53        19887.67s
1493/5000  0.0058     99.83        72.90        19900.49s
1494/5000  0.0042     99.88        72.92        19913.33s
1495/5000  0.0051     99.83        72.02        19926.13s
1496/5000  0.0048     99.85        72.77        19938.99s
1497/5000  0.0034     99.88        72.77        19951.87s
1498/5000  0.0041     99.87        72.82        19964.79s
1499/5000  0.0039     99.87        72.60        19977.58s
1500/5000  0.0040     99.88        72.78        19990.48s
1501/5000  0.0051     99.83        72.44        20003.28s
1502/5000  0.0048     99.85        72.96        20016.13s
1503/5000  0.0043     99.85        73.14        20029.15s
1504/5000  0.0047     99.84        72.62        20041.99s
1505/5000  0.0050     99.83        72.80        20055.07s
1506/5000  0.0037     99.88        72.50        20067.92s
1507/5000  0.0046     99.86        73.13        20080.88s
1508/5000  0.0035     99.87        72.74        20093.73s
1509/5000  0.0043     99.87        72.74        20106.58s
1510/5000  0.0053     99.83        72.53        20119.56s
1511/5000  0.0061     99.83        72.07        20132.41s
1512/5000  0.0035     99.86        73.05        20145.29s
1513/5000  0.0030     99.87        72.89        20158.18s
1514/5000  0.0052     99.84        72.59        20171.05s
1515/5000  0.0051     99.84        73.06        20183.97s
1516/5000  0.0042     99.86        72.57        20196.87s
1517/5000  0.0075     99.79        72.49        20209.78s
1518/5000  0.0054     99.81        72.40        20222.61s
1519/5000  0.0038     99.87        72.89        20235.45s
1520/5000  0.0037     99.89        72.81        20248.28s
1521/5000  0.0042     99.84        72.63        20261.23s
1522/5000  0.0037     99.86        72.29        20274.05s
1523/5000  0.0047     99.86        72.92        20286.94s
1524/5000  0.0028     99.90        73.15        20299.85s
1525/5000  0.0046     99.85        72.63        20312.79s
1526/5000  0.0060     99.82        73.26        20325.62s
1527/5000  0.0048     99.86        72.97        20338.57s
1528/5000  0.0036     99.88        73.13        20351.39s
1529/5000  0.0047     99.83        72.34        20364.25s
1530/5000  0.0044     99.87        72.98        20377.14s
1531/5000  0.0044     99.84        72.39        20390.06s
1532/5000  0.0045     99.85        72.83        20402.95s
1533/5000  0.0056     99.84        72.89        20415.85s
1534/5000  0.0030     99.89        72.63        20428.78s
1535/5000  0.0059     99.83        72.29        20441.65s
1536/5000  0.0044     99.86        73.09        20454.54s
1537/5000  0.0039     99.89        73.17        20467.47s
1538/5000  0.0033     99.90        73.30        20480.56s
1539/5000  0.0037     99.89        72.80        20493.47s
1540/5000  0.0031     99.90        72.56        20506.45s
1541/5000  0.0054     99.83        72.31        20519.28s
1542/5000  0.0037     99.90        72.85        20532.15s
1543/5000  0.0040     99.87        72.68        20545.08s
1544/5000  0.0043     99.86        72.56        20557.86s
1545/5000  0.0072     99.77        72.57        20570.81s
1546/5000  0.0059     99.81        72.85        20583.69s
1547/5000  0.0045     99.84        73.21        20596.59s
1548/5000  0.0041     99.88        73.12        20609.42s
1549/5000  0.0056     99.82        72.78        20622.29s
1550/5000  0.0046     99.84        72.56        20635.16s
1551/5000  0.0034     99.87        72.59        20647.98s
1552/5000  0.0037     99.89        73.15        20660.89s
1553/5000  0.0046     99.88        72.87        20673.75s
1554/5000  0.0048     99.87        72.79        20686.62s
1555/5000  0.0042     99.86        72.56        20699.50s
1556/5000  0.0038     99.86        72.62        20712.34s
1557/5000  0.0032     99.91        72.48        20725.17s
1558/5000  0.0043     99.85        72.77        20738.09s
1559/5000  0.0049     99.85        72.39        20751.16s
1560/5000  0.0033     99.88        72.23        20764.15s
1561/5000  0.0050     99.85        72.62        20777.12s
1562/5000  0.0061     99.83        72.53        20790.01s
1563/5000  0.0052     99.84        72.48        20802.86s
1564/5000  0.0024     99.92        72.76        20815.85s
1565/5000  0.0045     99.87        73.04        20828.78s
1566/5000  0.0029     99.89        73.17        20841.62s
1567/5000  0.0048     99.84        72.90        20854.53s
1568/5000  0.0046     99.86        72.58        20867.41s
1569/5000  0.0042     99.87        72.51        20880.31s
1570/5000  0.0040     99.88        72.18        20893.22s
1571/5000  0.0048     99.84        72.43        20906.11s
1572/5000  0.0036     99.88        72.49        20919.04s
1573/5000  0.0049     99.85        72.21        20931.97s
1574/5000  0.0046     99.85        72.59        20944.92s
1575/5000  0.0034     99.88        72.48        20957.84s
1576/5000  0.0049     99.83        72.52        20970.65s
1577/5000  0.0034     99.89        72.94        20983.50s
1578/5000  0.0044     99.86        72.55        20996.47s
1579/5000  0.0037     99.89        72.60        21009.39s
1580/5000  0.0041     99.85        72.46        21022.32s
1581/5000  0.0032     99.88        72.93        21035.09s
1582/5000  0.0034     99.87        72.98        21047.94s
1583/5000  0.0047     99.87        72.74        21060.67s
1584/5000  0.0040     99.86        72.36        21073.55s
1585/5000  0.0039     99.88        72.45        21086.41s
1586/5000  0.0039     99.87        72.35        21099.32s
1587/5000  0.0066     99.80        72.47        21112.18s
1588/5000  0.0054     99.83        72.43        21125.09s
1589/5000  0.0027     99.91        72.72        21138.07s
1590/5000  0.0031     99.90        72.94        21150.99s
1591/5000  0.0050     99.84        72.64        21163.86s
1592/5000  0.0048     99.86        72.05        21176.80s
1593/5000  0.0046     99.86        72.33        21189.69s
1594/5000  0.0050     99.84        72.79        21202.57s
1595/5000  0.0037     99.84        72.61        21215.52s
1596/5000  0.0034     99.89        72.84        21228.36s
1597/5000  0.0042     99.88        72.80        21241.11s
1598/5000  0.0052     99.84        72.54        21253.93s
1599/5000  0.0031     99.89        73.02        21266.82s
1600/5000  0.0042     99.88        73.03        21279.74s
1601/5000  0.0047     99.87        71.85        21292.64s
1602/5000  0.0055     99.86        72.49        21305.54s
1603/5000  0.0045     99.86        72.71        21318.31s
1604/5000  0.0035     99.91        72.29        21331.24s
1605/5000  0.0052     99.85        71.96        21344.06s
1606/5000  0.0049     99.83        72.43        21356.97s
1607/5000  0.0035     99.88        72.79        21369.87s
1608/5000  0.0045     99.86        72.68        21382.77s
1609/5000  0.0034     99.90        72.15        21395.74s
1610/5000  0.0042     99.87        72.34        21408.61s
1611/5000  0.0032     99.87        72.42        21421.50s
1612/5000  0.0042     99.88        72.26        21434.39s
1613/5000  0.0050     99.85        72.29        21447.34s
1614/5000  0.0051     99.83        72.02        21460.22s
1615/5000  0.0053     99.84        72.60        21473.14s
1616/5000  0.0030     99.89        72.86        21485.94s
1617/5000  0.0031     99.89        72.75        21498.72s
1618/5000  0.0056     99.84        72.53        21511.56s
1619/5000  0.0053     99.87        72.87        21524.50s
1620/5000  0.0045     99.85        72.70        21537.36s
1621/5000  0.0043     99.89        72.99        21550.37s
1622/5000  0.0029     99.91        72.47        21563.11s
1623/5000  0.0043     99.87        72.77        21575.96s
1624/5000  0.0046     99.85        72.54        21588.85s
1625/5000  0.0052     99.85        72.53        21601.64s
1626/5000  0.0038     99.87        72.69        21614.58s
1627/5000  0.0048     99.86        72.49        21627.60s
1628/5000  0.0038     99.88        72.37        21640.47s
1629/5000  0.0048     99.86        73.10        21653.29s
1630/5000  0.0050     99.84        72.56        21666.25s
1631/5000  0.0048     99.85        72.45        21679.15s
1632/5000  0.0036     99.88        72.92        21692.05s
1633/5000  0.0041     99.86        72.63        21705.03s
1634/5000  0.0039     99.86        72.96        21718.01s
1635/5000  0.0028     99.90        72.77        21730.86s
1636/5000  0.0040     99.88        72.88        21743.73s
1637/5000  0.0036     99.88        72.61        21756.59s
1638/5000  0.0034     99.88        72.42        21769.53s
1639/5000  0.0047     99.86        72.38        21782.52s
1640/5000  0.0037     99.89        72.91        21795.43s
1641/5000  0.0035     99.90        72.71        21808.34s
1642/5000  0.0046     99.86        72.66        21821.32s
1643/5000  0.0038     99.86        72.53        21834.30s
1644/5000  0.0057     99.83        72.74        21847.15s
1645/5000  0.0063     99.83        72.64        21860.02s
1646/5000  0.0041     99.88        72.93        21872.87s
1647/5000  0.0037     99.87        72.67        21885.69s
1648/5000  0.0038     99.86        73.02        21898.49s
1649/5000  0.0025     99.88        73.03        21911.37s
1650/5000  0.0038     99.89        72.98        21924.17s
1651/5000  0.0040     99.88        73.27        21937.07s
1652/5000  0.0027     99.91        72.93        21950.00s
1653/5000  0.0039     99.87        73.06        21962.88s
1654/5000  0.0036     99.89        72.66        21975.80s
1655/5000  0.0033     99.89        72.43        21988.72s
1656/5000  0.0038     99.87        72.55        22001.59s
1657/5000  0.0058     99.84        72.89        22014.63s
1658/5000  0.0049     99.85        72.65        22027.53s
1659/5000  0.0046     99.86        73.07        22040.48s
1660/5000  0.0052     99.86        72.75        22053.42s
1661/5000  0.0041     99.87        72.59        22066.29s
1662/5000  0.0028     99.92        72.87        22079.29s
1663/5000  0.0030     99.89        72.88        22092.19s
1664/5000  0.0043     99.87        72.49        22105.15s
1665/5000  0.0064     99.85        72.65        22118.05s
1666/5000  0.0039     99.88        72.82        22130.91s
1667/5000  0.0035     99.88        72.83        22143.94s
1668/5000  0.0050     99.85        72.70        22156.84s
1669/5000  0.0052     99.85        72.10        22169.76s
1670/5000  0.0056     99.85        72.59        22182.71s
1671/5000  0.0041     99.89        73.03        22195.68s
1672/5000  0.0024     99.91        72.83        22208.59s
1673/5000  0.0036     99.89        73.05        22221.44s
1674/5000  0.0027     99.90        73.21        22234.28s
1675/5000  0.0040     99.88        72.80        22247.22s
1676/5000  0.0044     99.86        72.93        22260.14s
1677/5000  0.0034     99.91        72.91        22273.04s
1678/5000  0.0048     99.86        72.36        22286.04s
1679/5000  0.0043     99.87        72.81        22298.90s
1680/5000  0.0037     99.86        72.67        22311.90s
1681/5000  0.0031     99.90        73.01        22324.82s
1682/5000  0.0039     99.89        72.42        22337.71s
1683/5000  0.0039     99.90        72.80        22350.51s
1684/5000  0.0022     99.93        72.97        22363.42s
1685/5000  0.0032     99.91        72.53        22376.33s
1686/5000  0.0042     99.86        72.66        22389.28s
1687/5000  0.0038     99.87        73.15        22402.23s
1688/5000  0.0040     99.86        73.01        22415.04s
1689/5000  0.0049     99.86        72.82        22427.87s
1690/5000  0.0045     99.86        73.27        22440.72s
1691/5000  0.0035     99.88        73.24        22453.48s
1692/5000  0.0036     99.88        73.34        22466.30s
1693/5000  0.0035     99.87        73.26        22479.05s
1694/5000  0.0033     99.89        73.13        22492.02s
1695/5000  0.0028     99.89        72.90        22504.93s
1696/5000  0.0067     99.80        72.82        22517.81s
1697/5000  0.0034     99.90        73.28        22530.61s
1698/5000  0.0054     99.84        73.01        22543.38s
1699/5000  0.0054     99.85        72.33        22556.17s
1700/5000  0.0036     99.88        72.85        22568.99s
1701/5000  0.0047     99.86        73.17        22581.87s
1702/5000  0.0040     99.86        72.80        22594.68s
1703/5000  0.0043     99.87        72.94        22607.49s
1704/5000  0.0029     99.90        72.88        22620.36s
1705/5000  0.0032     99.90        72.74        22633.11s
1706/5000  0.0036     99.88        72.81        22645.91s
1707/5000  0.0034     99.88        72.96        22658.74s
1708/5000  0.0037     99.87        73.34        22671.52s
1709/5000  0.0029     99.89        73.05        22684.34s
1710/5000  0.0038     99.87        72.85        22697.21s
1711/5000  0.0040     99.89        72.75        22710.14s
1712/5000  0.0048     99.85        72.97        22723.01s
1713/5000  0.0050     99.83        72.87        22735.79s
1714/5000  0.0032     99.90        73.33        22748.65s
1715/5000  0.0029     99.89        73.03        22761.51s
1716/5000  0.0045     99.87        73.03        22774.54s
1717/5000  0.0033     99.88        72.68        22787.42s
1718/5000  0.0046     99.85        72.55        22800.30s
1719/5000  0.0044     99.86        72.91        22813.08s
1720/5000  0.0031     99.90        72.86        22826.00s
1721/5000  0.0037     99.89        72.88        22838.91s
1722/5000  0.0042     99.88        72.44        22851.80s
1723/5000  0.0037     99.88        72.22        22864.63s
1724/5000  0.0043     99.87        72.82        22877.59s
1725/5000  0.0025     99.91        73.26        22890.55s
1726/5000  0.0030     99.90        72.92        22903.39s
1727/5000  0.0032     99.88        73.00        22916.29s
1728/5000  0.0039     99.86        72.79        22929.06s
1729/5000  0.0039     99.87        73.19        22941.96s
1730/5000  0.0044     99.84        72.92        22954.82s
1731/5000  0.0027     99.89        73.02        22967.67s
